Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:45:37 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.22    0.00    2.04    3.06    0.00   94.68

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdq               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.12    0.00    6.12   3.25   2.60
sdr               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    8.50    0.00    8.50   4.62   3.70
sds               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08   10.12    0.00   10.12   5.50   4.40
sdt               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.62    0.00    5.62   3.00   2.40
sdu               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.12    0.00    6.12   3.25   2.60
sdv               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.06    6.88    0.00    6.88   3.75   3.00
sdw               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.09   11.38    0.00   11.38   6.25   5.00
sdx               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    8.12    0.00    8.12   4.25   3.40
sdy               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08    9.50    0.00    9.50   5.62   4.50
sdz               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    8.38    0.00    8.38   4.38   3.50
sdaa              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.09   11.62    0.00   11.62   5.88   4.70
sdab              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.12    0.00    6.12   3.50   2.80
sdac              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   3.00   2.40
sdad              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    9.25    0.00    9.25   4.75   3.80
sdae              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.88    0.00    5.88   3.25   2.60
sdaf              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.06    7.88    0.00    7.88   4.25   3.40
sdag              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08    9.62    0.00    9.62   5.38   4.30

02/07/2019 07:45:39 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.04    0.00    1.00   16.52    0.00   82.45

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb              17.00     0.00  358.00    2.00 94208.00  2048.00   534.76   127.94  258.71  260.10    9.00   2.53  91.00
sdc              11.00     0.00  316.00    3.00 82688.00  2052.00   531.29   128.61  279.43  281.33   79.00   2.84  90.70
sdd              20.00     0.00  316.00    2.00 85248.00  2048.00   549.03   125.02  272.14  273.82    7.00   2.78  88.50
sde              13.00     0.00  355.00    2.00 92672.00  2048.00   530.64   128.34  258.72  260.14    6.00   2.54  90.80
sdf              15.00     0.00  334.00    2.00 88832.00  2048.00   540.95   124.93  259.10  260.59    9.50   2.65  88.90
sdg              17.00     0.00  361.00    2.00 95232.00  2048.00   535.98   128.15  256.18  257.57    5.50   2.49  90.40
sdh              10.00     0.00  343.00    0.00 89600.00     0.00   522.45   127.09  275.98  275.98    0.00   2.59  89.00
sdi              11.00     0.00  242.00    0.00 62976.00     0.00   520.46   125.63  346.87  346.87    0.00   3.62  87.70
sdj              15.00     0.00  321.00    0.00 84992.00     0.00   529.55   126.90  265.76  265.76    0.00   2.77  89.00
sdk              13.00     0.00  322.00    0.00 84992.00     0.00   527.90   124.99  284.43  284.43    0.00   2.72  87.70
sdl              13.00     0.00  339.00    0.00 89344.00     0.00   527.10   127.13  285.53  285.53    0.00   2.63  89.00
sdm               7.00     0.00  309.00    0.00 80640.00     0.00   521.94   125.16  283.90  283.90    0.00   2.84  87.70
sdn              10.00     0.00  313.00    0.00 82176.00     0.00   525.09   127.14  276.88  276.88    0.00   2.84  89.00
sdo              13.00     0.00  348.00    0.00 91904.00     0.00   528.18   125.45  258.57  258.57    0.00   2.52  87.80
sdp              13.00     0.00  343.00    0.00 89856.00     0.00   523.94   125.60  264.71  264.71    0.00   2.56  87.80
sdq               9.00     0.00  333.00    0.00 86272.00     0.00   518.15   125.39  266.72  266.72    0.00   2.64  87.80
sdr              15.00     0.00  317.00    0.00 83712.00     0.00   528.15   125.60  276.78  276.78    0.00   2.77  87.80
sds               9.00     0.00  309.00    0.00 81152.00     0.00   525.26   125.26  288.54  288.54    0.00   2.84  87.80
sdt               9.00     0.00  301.00    0.00 78336.00     0.00   520.50   125.17  285.69  285.69    0.00   2.92  87.80
sdu               9.00     0.00  313.00    0.00 82176.00     0.00   525.09   124.70  277.55  277.55    0.00   2.80  87.70
sdv               8.00     0.00  340.00    0.00 88320.00     0.00   519.53   125.38  261.68  261.68    0.00   2.58  87.80
