Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:43:35 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.17    0.00    1.70    2.23    0.00   95.90

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.41   12.95    1.45   119.39   143.08    36.46     0.06    3.82    0.56   33.03   0.43   0.62
sdb               9.91    29.30  336.46 1181.02  8079.85  7216.02    20.16    16.59   10.93   34.31    4.27   0.09  14.05
sdc               9.03    35.67  313.58 1352.77  7458.91  7899.21    18.43    18.91   11.34   36.81    5.44   0.08  14.14
sdd               9.45    29.61  328.21 1089.47  7814.12  6828.81    20.66    15.80   11.14   35.14    3.91   0.10  14.34
sde               9.43    32.06  331.34  960.41  7922.31  6317.13    22.05    18.27   14.14   34.87    6.99   0.11  14.09
sdf               9.32    26.45  325.11  425.78  7773.97  4168.54    31.81    18.39   24.49   35.51   16.07   0.19  14.49
sdg               9.41    25.39  333.98  546.43  7980.88  4649.64    28.69    18.45   20.95   34.55   12.64   0.16  14.01
sdh               9.51    31.31  334.01 1323.02  7963.50  7755.68    18.97    17.79   10.73   34.55    4.72   0.09  14.10
sdi               9.07    30.37  309.71 1173.45  7353.10  7156.66    19.57    17.39   11.72   37.26    4.98   0.09  14.00
sdj               8.97    34.47  313.80 1319.54  7450.12  7788.79    18.66    18.62   11.40   36.77    5.37   0.09  14.18
sdk               9.03    33.66  309.44 1210.65  7375.62  7318.13    19.33    18.85   12.39   37.37    6.01   0.09  14.11
sdl               9.03    32.68  308.63 1320.07  7327.72  7747.43    18.51    17.82   10.94   37.48    4.73   0.09  14.14
sdm               9.03    35.62  309.90 1352.75  7347.29  7889.91    18.33    18.70   11.25   37.26    5.29   0.09  14.18
sdn               8.87    33.63  308.72 1169.58  7322.04  7155.14    19.59    17.91   12.11   37.35    5.45   0.10  14.41
sdo               9.54    28.02  335.95  998.10  8021.55  6440.00    21.68    15.75   11.80   34.38    4.20   0.10  14.01
sdp               9.69    33.91  332.31 1323.77  7951.89  7770.13    18.99    18.69   11.28   34.73    5.40   0.09  14.17
sdq               9.54    24.06  332.10  923.69  7899.93  6128.22    22.34    15.76   12.55   34.79    4.55   0.11  13.97
sdr               9.47    33.36  332.69 1057.80  7955.24  6729.87    21.12    18.78   13.51   34.74    6.83   0.10  14.26
sds               9.02    23.50  307.40  898.12  7307.79  6036.42    22.14    15.09   12.52   37.58    3.94   0.12  14.50
sdt               9.03    34.68  311.73 1243.06  7436.08  7478.68    19.19    18.26   11.74   37.03    5.40   0.09  14.08
sdu               9.08    33.86  313.95 1324.58  7470.17  7763.91    18.59    18.28   11.15   36.82    5.07   0.09  14.11
sdv               9.50    34.66  335.77 1339.29  8004.14  7866.44    18.95    18.75   11.19   34.41    5.37   0.08  14.18
sdw               8.97    33.04  306.50 1249.61  7287.02  7465.30    18.96    18.19   11.69   37.76    5.29   0.09  14.61
sdx               9.06    34.32  310.71 1311.48  7398.50  7717.86    18.64    18.86   11.62   37.22    5.56   0.09  14.20
sdy               8.80    31.01  308.77 1232.51  7303.24  7410.30    19.09    17.24   11.18   37.29    4.64   0.09  14.53
sdz               9.15    34.55  312.76 1323.88  7467.98  7772.85    18.62    18.83   11.50   36.90    5.50   0.09  14.16
sdaa              9.25    41.77  324.61  461.07  7741.58  4314.14    30.69    18.55   23.60   35.62   15.14   0.18  14.42
sdab              9.48    25.67  329.68  610.65  7929.39  4858.85    27.20    18.90   20.09   35.04   12.02   0.15  14.11
sdac              8.99    31.46  313.76 1200.00  7442.39  7222.55    19.38    17.55   11.59   36.82    5.00   0.09  13.94
sdad              8.93    31.35  306.05 1161.29  7288.68  7077.58    19.58    17.51   11.93   37.73    5.13   0.10  14.49
sdae              9.54    26.32  332.59  457.00  7959.17  4246.22    30.92    18.27   23.14   34.73   14.70   0.18  14.00
sdaf              9.15    32.43  313.60 1237.67  7483.59  7385.60    19.17    17.31   11.15   36.78    4.66   0.09  14.16
sdag              9.23    25.87  323.61  435.74  7766.24  4159.87    31.41    18.38   24.20   35.62   15.73   0.19  14.53

02/07/2019 07:43:36 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.29    0.00    1.01    0.93    0.00   95.76

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
