Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:48:42 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.24    0.00    1.99    4.25    0.00   93.52

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdq               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   3.12   2.50
sdr               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.88    0.00    5.88   3.38   2.70
sds               0.00     0.00    0.00    9.00     0.00  8196.00  1821.33     0.09    9.67    0.00    9.67   5.00   4.50
sdt               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.62    0.00    5.62   2.88   2.30
sdu               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.00    0.00    6.00   3.38   2.70
sdv               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   3.00   2.40
sdw               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08   10.00    0.00   10.00   5.38   4.30
sdx               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   3.12   2.50
sdy               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08    9.50    0.00    9.50   5.62   4.50
sdz               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.62    0.00    5.62   3.25   2.60
sdaa              0.00     0.00    0.00   10.00     0.00 10240.00  2048.00     0.08    7.80    0.00    7.80   4.00   4.00
sdab              0.00     0.00    0.00   10.00     0.00 10240.00  2048.00     0.06    5.80    0.00    5.80   3.00   3.00
sdac              0.00     0.00    0.00   10.00     0.00 10240.00  2048.00     0.05    5.40    0.00    5.40   2.60   2.60
sdad              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    9.38    0.00    9.38   5.00   4.00
sdae              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.38    0.00    5.38   2.88   2.30
sdaf              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.06    7.75    0.00    7.75   4.00   3.20
sdag              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08    9.62    0.00    9.62   5.62   4.50

02/07/2019 07:48:44 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.90    0.00   15.96   11.41    0.00   71.73

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     1.00    0.00    1.00     0.00   128.00   256.00     0.00    2.00    0.00    2.00   2.00   0.20
sdb               8.00     0.00 23194.00    4.00 92808.00  4096.00     8.35   126.00    5.41    5.41   10.25   0.04  90.80
