Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:42:33 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.17    0.00    1.64    1.75    0.00   96.45

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.42   13.31    1.48   122.70   146.83    36.44     0.06    3.82    0.56   33.19   0.43   0.63
sdb               5.84    30.11  182.22 1213.79  5617.42  7370.97    18.61    13.17    9.43   43.79    4.27   0.08  11.71
sdc               5.36    36.65  169.05 1390.32  5151.50  8073.15    16.96    15.54    9.96   47.20    5.44   0.08  11.81
sdd               5.44    30.43  177.70 1119.70  5408.63  6973.00    19.09    12.36    9.52   44.87    3.91   0.09  12.01
sde               5.62    32.95  179.25  987.05  5496.46  6447.09    20.48    14.89   12.76   44.55    6.99   0.10  11.75
sdf               5.46    27.17  176.32  437.56  5398.91  4238.79    31.40    15.02   24.46   45.27   16.07   0.20  12.16
sdg               5.50    26.09  180.83  561.56  5537.07  4733.26    27.67    15.08   20.30   44.11   12.64   0.16  11.68
sdh               5.55    32.18  180.85 1359.73  5517.99  7925.62    17.45    14.40    9.34   44.10    4.72   0.08  11.76
sdi               5.30    31.21  168.18 1206.00  5090.88  7309.95    18.05    13.99   10.17   47.41    4.98   0.08  11.67
sdj               5.16    35.42  169.57 1356.16  5144.89  7959.65    17.18    15.26   10.00   47.06    5.36   0.08  11.84
sdk               5.23    34.59  167.10 1244.24  5100.91  7475.91    17.82    15.48   10.96   47.83    6.01   0.08  11.78
sdl               5.27    33.58  166.72 1356.70  5059.15  7918.07    17.04    14.42    9.46   47.95    4.73   0.08  11.81
sdm               5.20    36.60  167.79 1390.29  5074.56  8064.51    16.87    15.33    9.84   47.58    5.28   0.08  11.85
sdn               5.11    34.56  167.33 1202.03  5061.79  7308.39    18.07    14.54   10.61   47.68    5.45   0.09  12.09
sdo               5.62    28.79  181.62 1025.79  5558.89  6573.37    20.10    12.30   10.18   43.96    4.20   0.10  11.67
sdp               5.61    34.85  180.36 1360.51  5524.21  7940.47    17.48    15.32    9.94   44.24    5.39   0.08  11.83
sdq               5.60    24.73  179.49  949.31  5462.71  6252.92    20.76    12.31   10.90   44.49    4.55   0.10  11.63
sdr               5.57    34.28  179.73 1087.14  5514.36  6871.30    19.55    15.41   12.16   44.46    6.83   0.09  11.93
sds               5.23    24.14  166.33  923.03  5052.41  6158.58    20.58    11.62   10.67   48.00    3.94   0.11  12.17
sdt               5.19    35.64  168.50 1277.55  5146.87  7640.93    17.69    14.88   10.29   47.38    5.40   0.08  11.75
sdu               5.23    34.80  170.03 1361.34  5169.89  7934.08    17.11    14.89    9.72   46.97    5.07   0.08  11.78
sdv               5.68    35.62  181.29 1376.45  5540.12  8039.46    17.43    15.38    9.87   44.05    5.37   0.08  11.85
sdw               5.24    33.95  165.53 1284.29  5033.80  7627.18    17.47    14.80   10.20   48.32    5.29   0.08  12.29
sdx               5.23    35.27  167.23 1347.88  5104.78  7886.75    17.15    15.49   10.22   47.79    5.56   0.08  11.86
sdy               5.19    31.86  166.40 1266.71  5029.29  7570.65    17.58    13.85    9.66   47.85    4.64   0.09  12.20
sdz               5.27    35.50  168.64 1360.62  5164.45  7943.27    17.14    15.47   10.11   47.31    5.50   0.08  11.83
sdaa              5.43    42.92  175.21  473.83  5356.64  4388.44    30.03    15.17   23.37   45.63   15.14   0.19  12.10
sdab              5.62    26.38  178.14  627.57  5512.33  4948.28    25.97    15.53   19.27   44.81   12.02   0.15  11.78
sdac              5.23    32.33  170.65 1233.30  5155.78  7377.68    17.85    14.15   10.07   46.77    5.00   0.08  11.60
sdad              5.21    32.22  165.63 1193.51  5044.97  7228.68    18.06    14.11   10.38   48.20    5.13   0.09  12.17
sdae              5.57    27.05  179.45  469.64  5514.27  4318.64    30.30    14.89   22.94   44.50   14.70   0.18  11.66
sdaf              5.38    33.33  169.54 1272.01  5182.94  7545.27    17.66    13.92    9.65   47.08    4.66   0.08  11.83
sdag              5.51    26.59  175.12  447.80  5398.67  4229.89    30.91    15.02   24.10   45.52   15.72   0.20  12.20

02/07/2019 07:42:34 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.95    0.00    1.06    0.93    0.00   96.05

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.12    0.00    6.12   3.25   2.60
sdc               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.50    0.00    5.50   2.88   2.30
sdd               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    9.38    0.00    9.38   4.75   3.80
sde               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.62    0.00    5.62   2.88   2.30
sdf               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    9.25    0.00    9.25   5.25   4.20
sdg               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.88    0.00    5.88   3.12   2.50
sdh               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.00    0.00    6.00   3.12   2.50
sdi               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    8.12    0.00    8.12   4.25   3.40
sdj               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.38    0.00    5.38   2.75   2.20
sdk               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.06    5.62    0.00    5.62   4.00   3.20
sdl               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   3.12   2.50
sdm               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.38    0.00    5.38   2.88   2.30
sdn               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08    9.75    0.00    9.75   5.75   4.60
sdo               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   3.00   2.40
sdp               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.50    0.00    6.50   3.50   2.80
sdq               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.50    0.00    6.50   3.88   3.10
sdr               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.50    0.00    6.50   3.62   2.90
sds               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08    9.50    0.00    9.50   5.12   4.10
sdt               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.12    0.00    6.12   3.12   2.50
sdu               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.00    0.00    6.00   3.00   2.40
sdv               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.88    0.00    5.88   3.12   2.50
