Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:49:43 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.26    0.00    2.34    4.43    0.00   92.97

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdp               0.00     0.00    0.00   10.00     0.00 10240.00  2048.00     0.06    7.00    0.00    7.00   3.70   3.70
sdq               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   3.12   2.50
sdr               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.06    7.00    0.00    7.00   4.00   3.20
sds               0.00     0.00    0.00    9.00     0.00  8196.00  1821.33     0.07    7.33    0.00    7.33   4.00   3.60
sdt               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.88    0.00    5.88   3.12   2.50
sdu               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.88    0.00    5.88   3.00   2.40
sdv               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.12    0.00    6.12   3.38   2.70
sdw               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.06    7.88    0.00    7.88   4.25   3.40
sdx               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08    9.50    0.00    9.50   5.00   4.00
sdy               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08    9.88    0.00    9.88   5.12   4.10
sdz               0.00     2.00    0.00   10.00     0.00  8208.00  1641.60     0.04    4.30    0.00    4.30   2.30   2.30
sdaa              0.00     1.00    0.00   10.00     0.00  8204.00  1640.80     0.07    7.30    0.00    7.30   4.20   4.20
sdab              0.00     1.00    0.00   10.00     0.00  8204.00  1640.80     0.05    4.80    0.00    4.80   2.50   2.50
sdac              0.00     1.00    0.00   11.00     0.00  8208.00  1492.36     0.05    4.27    0.00    4.27   2.27   2.50
sdad              0.00     1.00    0.00   10.00     0.00  8204.00  1640.80     0.09    8.80    0.00    8.80   4.80   4.80
sdae              0.00     1.00    0.00   10.00     0.00  8204.00  1640.80     0.04    4.30    0.00    4.30   2.30   2.30
sdaf              0.00     1.00    0.00   10.00     0.00  8204.00  1640.80     0.08    8.10    0.00    8.10   4.20   4.20
sdag              0.00     1.00    0.00   10.00     0.00  8204.00  1640.80     0.08    8.30    0.00    8.30   4.80   4.80

02/07/2019 07:49:45 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.33    0.00   16.80   10.53    0.00   71.34

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     1.00    0.00    1.00     0.00   128.00   256.00     0.00    2.00    0.00    2.00   2.00   0.20
sdb               1.00     1.00 8801.00 8813.00 35208.00 39332.00     8.46    72.54    4.12    1.85    6.39   0.05  86.40
sdc               0.00     0.00 9265.00 9281.00 37060.00 41204.00     8.44    98.00    5.24    2.64    7.83   0.05  90.30
sdd               1.00     2.00 10214.00 10258.00 40860.00 45120.00     8.40   126.40    6.14    2.42    9.84   0.04  90.90
sde               0.00     3.00 6279.00 6171.00 25116.00 28776.00     8.66   128.40   10.20    4.20   16.30   0.07  90.70
sdf               1.00     1.00 6590.00 6569.00 26364.00 30360.00     8.62   127.22    9.57    3.67   15.47   0.07  91.20
sdg               0.00     4.00 5121.00 4980.00 20484.00 24016.00     8.81   128.28   12.51    5.24   19.97   0.09  90.60
sdh               1.00     3.00 10579.00 10841.00 42320.00 47456.00     8.38   126.25    5.86    2.30    9.34   0.04  91.10
sdi               0.00     5.00 11911.00 11697.00 47640.00 50888.00     8.35   121.34    5.10    2.16    8.10   0.04  90.50
sdj               0.00     2.00 6307.00 6238.00 25228.00 29040.00     8.65   127.64   10.04    4.12   16.03   0.07  90.60
