Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:50:44 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.29    0.00    2.69    4.58    0.00   92.45

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.36   10.89    1.28   100.34   122.01    36.56     0.05    3.81    0.56   31.56   0.43   0.53
sdb              18.19    31.36 1242.20 1447.65 16425.83 14024.51    22.64    34.49   12.82   14.07   11.75   0.10  27.43
sdc              16.85    41.77 1260.28 1724.32 16252.22 17317.00    22.49    37.85   12.68   14.03   11.69   0.09  27.52
sdd              17.61    33.38 1237.50 1401.43 16220.40 14300.04    23.13    33.86   12.83   14.14   11.67   0.10  27.70
sde              16.61    35.54 1051.56 1260.47 15682.36 13800.35    25.50    37.37   16.16   16.84   15.60   0.12  27.48
sdf              12.95    29.65  716.54  692.60 13538.60 11047.26    34.89    37.51   26.61   24.81   28.48   0.20  27.82
sdg              13.12    28.41  826.79  790.44 14077.55 11236.58    31.31    37.58   23.23   21.53   25.01   0.17  27.42
sdh              16.94    33.81 1237.67 1605.75 15918.77 13976.69    21.03    36.97   13.00   14.28   12.01   0.10  27.50
sdi              17.30    43.16 1253.28 1707.68 16642.88 21923.23    26.05    36.14   12.20   14.05   10.84   0.09  27.39
sdj              15.90    45.31  964.35 1712.26 15438.69 21832.05    27.85    37.70   14.08   18.39   11.65   0.10  27.55
sdk              13.09    39.19  811.65 1504.62 13995.08 15990.56    25.89    37.92   16.36   21.89   13.39   0.12  27.50
sdl              17.20    36.75 1255.34 1633.33 15480.06 15008.49    21.11    36.94   12.79   14.14   11.75   0.10  27.53
sdm              17.21    39.28 1253.55 1660.22 15467.72 15192.52    21.05    37.67   12.93   14.10   12.04   0.09  27.56
sdn              16.47    45.81 1177.50 1684.69 16280.46 21689.44    26.53    37.03   12.93   15.02   11.47   0.10  27.75
sdo              16.82    31.05 1105.53 1264.87 15691.91 13568.34    24.69    34.63   14.61   15.93   13.45   0.12  27.39
sdp              14.07    35.92 1013.46 1563.93 15060.85 14005.25    22.55    37.72   14.63   17.50   12.77   0.11  27.55
sdq              16.75    27.58 1201.25 1256.50 15730.94 12482.19    22.96    35.21   14.32   14.74   13.93   0.11  27.38
sdr              16.48    34.82 1080.24 1302.96 15153.78 12749.37    23.42    37.79   15.85   16.37   15.42   0.12  27.63
sds              16.18    28.22 1076.24 1227.87 14548.14 12600.69    23.57    34.69   15.05   16.48   13.80   0.12  27.84
sdt              17.17    38.48 1261.65 1566.59 15636.24 14625.29    21.40    37.30   13.19   14.02   12.51   0.10  27.48
sdu              17.27    37.61 1265.89 1637.59 15615.06 14556.61    20.78    37.30   12.84   13.95   11.98   0.09  27.50
sdv              17.21    39.14 1283.71 1665.80 16808.29 15621.48    21.99    37.57   12.73   13.68   12.01   0.09  27.56
sdw              15.96    37.07 1118.48 1512.83 15305.50 16241.53    23.98    35.05   13.32   15.56   11.66   0.11  27.90
sdx              13.01    36.28  890.81 1466.64 13935.08 13971.35    23.68    37.88   16.06   19.95   13.70   0.12  27.58
sdy              17.33    43.87 1274.19 1773.30 16651.16 22114.86    25.44    36.41   11.94   13.84   10.58   0.09  27.85
sdz              16.53    37.93 1228.74 1632.01 15644.54 15137.64    21.52    37.79   13.21   14.39   12.32   0.10  27.55
sdaa             13.02    42.18  831.39  747.48 13845.08 10752.82    31.16    37.59   23.80   21.30   26.58   0.18  27.77
sdab             13.05    27.04  756.11  830.14 13526.01 10581.16    30.40    37.93   23.91   23.48   24.30   0.17  27.50
sdac             16.50    34.55 1194.36 1517.78 15387.61 14346.69    21.93    36.73   13.54   14.81   12.54   0.10  27.36
sdad             16.16    33.20 1163.04 1429.17 14421.97 12646.92    20.88    36.68   14.15   15.21   13.29   0.11  27.83
sdae             13.38    29.69  823.09  760.95 14364.29 11322.67    32.43    37.44   23.63   21.58   25.85   0.17  27.41
sdaf             17.03    45.01 1256.77 1775.32 16766.19 22099.94    25.64    36.50   12.03   14.03   10.62   0.09  27.53
sdag             11.19    31.00  703.13  753.28 14008.32 13092.77    37.22    37.56   25.78   25.26   26.27   0.19  27.85

02/07/2019 07:50:45 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.30    0.00    1.04    0.92    0.00   95.74

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.50    0.00    5.50   2.88   2.30
sdc               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.62    0.00    5.62   3.00   2.40
sdd               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    9.38    0.00    9.38   5.00   4.00
sde               0.00     0.00    0.00    9.00     0.00  8196.00  1821.33     0.04    5.00    0.00    5.00   2.67   2.40
sdf               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08    9.50    0.00    9.50   5.62   4.50
sdg               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.50    0.00    5.50   2.88   2.30
sdh               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08    9.75    0.00    9.75   5.75   4.60
sdi               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.00    0.00    6.00   3.12   2.50
sdj               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    9.00    0.00    9.00   4.62   3.70
sdk               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.88    0.00    5.88   3.12   2.50
sdl               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.12    0.00    6.12   3.12   2.50
sdm               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.25    0.00    5.25   2.75   2.20
sdn               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08    9.62    0.00    9.62   5.62   4.50
sdo               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.12    0.00    6.12   3.25   2.60
sdp               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.06    7.00    0.00    7.00   3.75   3.00
sdq               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.12    0.00    5.12   2.62   2.10
sdr               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.62    0.00    6.62   3.75   3.00
sds               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07    8.62    0.00    8.62   4.62   3.70
sdt               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.06    7.50    0.00    7.50   4.00   3.20
sdu               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.88    0.00    5.88   3.12   2.50
sdv               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.38    0.00    6.38   3.50   2.80
sdw               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08   10.00    0.00   10.00   5.75   4.60
sdx               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.50    0.00    6.50   3.75   3.00
sdy               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.07   10.12    0.00   10.12   5.50   4.40
sdz               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    5.75    0.00    5.75   2.88   2.30
sdaa              0.00     0.00    0.00    9.00     0.00  8196.00  1821.33     0.07    7.44    0.00    7.44   3.78   3.40
sdab              0.00     0.00    0.00    9.00     0.00  8196.00  1821.33     0.04    5.00    0.00    5.00   2.67   2.40
sdac              0.00     0.00    0.00    9.00     0.00  8196.00  1821.33     0.04    4.78    0.00    4.78   2.44   2.20
sdad              0.00     0.00    0.00    9.00     0.00  8196.00  1821.33     0.10   10.89    0.00   10.89   5.78   5.20
sdae              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.25    0.00    5.25   2.75   2.20
sdaf              0.00     0.00    0.00    9.00     0.00  8196.00  1821.33     0.05    5.33    0.00    5.33   2.78   2.50
sdag              0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.08    9.88    0.00    9.88   5.50   4.40

02/07/2019 07:50:46 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.64    0.00   17.71   10.02    0.00   70.63

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb               0.00    10.00    0.00 24217.00     0.00 100988.00     8.34   122.28    5.03    0.00    5.03   0.04  89.80
sdc               0.00     6.00    0.00 20409.00     0.00 85740.00     8.40    90.51    4.43    0.00    4.43   0.04  90.00
sdd               0.00    12.00    0.00 20292.00     0.00 85296.00     8.41   125.75    6.16    0.00    6.16   0.04  90.10
sde               0.00     6.00    0.00 13618.00     0.00 58576.00     8.60   127.30    9.28    0.00    9.28   0.07  90.10
sdf               0.00     4.00    0.00 15674.00     0.00 66792.00     8.52   126.79    8.03    0.00    8.03   0.06  90.20
sdg               0.00     5.00    0.00 11752.00     0.00 51108.00     8.70   127.76   10.79    0.00   10.79   0.08  90.20
sdh               0.00    10.00    0.00 18532.00     0.00 78244.00     8.44   126.42    6.79    0.00    6.79   0.05  90.10
sdi               0.00    12.00    0.00 24243.00     0.00 101100.00     8.34   122.97    5.05    0.00    5.05   0.04  90.10
sdj               0.00     1.00    0.00 14049.00     0.00 60280.00     8.58   126.34    8.93    0.00    8.93   0.06  90.20
sdk               0.00     7.00    0.00 16502.00     0.00 70116.00     8.50   126.48    7.62    0.00    7.62   0.05  90.20
sdl               0.00     6.00    0.00 24965.00     0.00 103964.00     8.33   124.36    4.96    0.00    4.96   0.04  90.20
sdm               0.00    12.00    0.00 24436.00     0.00 101872.00     8.34   126.46    5.15    0.00    5.15   0.04  90.80
sdn               0.00     2.00    0.00 11457.00     0.00 49916.00     8.71    35.81    3.13    0.00    3.13   0.08  89.90
sdo               0.00     5.00    0.00 25219.00     0.00 104976.00     8.33   124.90    4.94    0.00    4.94   0.04  90.80
sdp               0.00    15.00    0.00 23157.00     0.00 96768.00     8.36   125.43    5.39    0.00    5.39   0.04  91.00
sdq               0.00    17.00    0.00 22540.00     0.00 94308.00     8.37   126.24    5.58    0.00    5.58   0.04  90.70
sdr               0.00    14.00    0.00 17186.00     0.00 72880.00     8.48   125.69    7.27    0.00    7.27   0.05  91.10
sds               0.00     8.00    0.00 22480.00     0.00 94032.00     8.37   125.55    5.56    0.00    5.56   0.04  91.30
sdt               0.00     5.00    0.00 23926.00     0.00 99804.00     8.34   125.26    5.21    0.00    5.21   0.04  90.80
sdu               0.00     9.00    0.00 23284.00     0.00 97252.00     8.35   124.85    5.34    0.00    5.34   0.04  90.80
sdv               0.00     5.00    0.00 22973.00     0.00 95992.00     8.36   125.65    5.45    0.00    5.45   0.04  91.00
sdw               0.00    14.00    0.00 20290.00     0.00 85296.00     8.41   125.89    6.18    0.00    6.18   0.04  91.20
sdx               0.00     9.00    0.00 12059.00     0.00 52352.00     8.68   127.38   10.47    0.00   10.47   0.08  90.90
sdy               0.00     5.00    0.00 21249.00     0.00 89096.00     8.39   125.49    5.89    0.00    5.89   0.04  91.20
sdz               0.00     9.00    0.00 22426.00     0.00 91780.00     8.19   124.95    5.54    0.00    5.54   0.04  90.20
sdaa              0.00     3.00    0.00 15582.00     0.00 64380.00     8.26   126.69    8.05    0.00    8.05   0.06  90.20
sdab              0.00     7.00    0.00 11813.00     0.00 49316.00     8.35   126.91   10.68    0.00   10.68   0.08  90.20
sdac              0.00     9.00    0.00 22084.00     0.00 90412.00     8.19   126.43    5.69    0.00    5.69   0.04  90.20
sdad              0.00     9.00    0.00 17811.00     0.00 73320.00     8.23   106.58    5.98    0.00    5.98   0.05  90.30
sdae              0.00     2.00    0.00 18144.00     0.00 76664.00     8.45   126.64    6.91    0.00    6.91   0.05  90.30
sdaf              0.00    15.00    0.00 22989.00     0.00 96096.00     8.36   126.10    5.46    0.00    5.46   0.04  90.30
sdag              0.00     2.00    0.00 14548.00     0.00 62280.00     8.56   127.45    8.71    0.00    8.71   0.06  90.30

02/07/2019 07:50:47 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.89    0.00   19.05   11.27    0.00   67.79

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    2.00     0.00   128.00   128.00     0.00    1.00    0.00    1.00   0.50   0.10
sdb               0.00    19.00    0.00 27130.00     0.00 110636.00     8.16   139.39    5.13    0.00    5.13   0.04 100.10
sdc               0.00     5.00    0.00 21139.00     0.00 86616.00     8.19    85.27    4.03    0.00    4.03   0.05  99.80
sdd               0.00    21.00    0.00 27036.00     0.00 110268.00     8.16   138.62    5.13    0.00    5.13   0.04 100.00
sde               0.00     5.00    0.00 15409.00     0.00 63696.00     8.27   140.51    9.12    0.00    9.12   0.06 100.00
sdf               0.00     5.00    0.00 18436.00     0.00 75804.00     8.22   140.34    7.61    0.00    7.61   0.05 100.00
sdg               0.00     1.00    0.00 12551.00     0.00 52248.00     8.33   143.46   11.41    0.00   11.41   0.08 100.00
sdh               0.00    10.00    0.00 25861.00     0.00 105528.00     8.16   139.55    5.40    0.00    5.40   0.04 100.00
sdi               0.00    18.00    0.00 27089.00     0.00 110468.00     8.16   138.70    5.10    0.00    5.10   0.04 100.30
sdj               0.00     5.00    0.00 15549.00     0.00 64256.00     8.26   139.58    8.99    0.00    8.99   0.06  99.90
sdk               0.00     7.00    0.00 18459.00     0.00 75904.00     8.22   140.57    7.62    0.00    7.62   0.05  99.90
sdl               0.00    16.00    0.00 27348.00     0.00 111492.00     8.15   139.16    5.09    0.00    5.09   0.04  99.90
sdm               0.00    16.00    0.00 26941.00     0.00 109864.00     8.16   139.81    5.20    0.00    5.20   0.04  99.90
sdn               0.00     3.00    0.00 13180.00     0.00 54772.00     8.31    30.90    2.35    0.00    2.35   0.07  98.50
sdo               0.00    10.00    0.00 27537.00     0.00 112228.00     8.15   139.35    5.06    0.00    5.06   0.04  99.90
sdp               0.00    13.00    0.00 24881.00     0.00 103652.00     8.33   139.27    5.60    0.00    5.60   0.04  99.90
sdq               0.00    10.00    0.00 24275.00     0.00 101220.00     8.34   139.92    5.76    0.00    5.76   0.04 100.00
sdr               0.00     8.00    0.00 19588.00     0.00 82464.00     8.42   140.28    7.16    0.00    7.16   0.05 100.00
sds               0.00     7.00    0.00 25911.00     0.00 107752.00     8.32   138.96    5.36    0.00    5.36   0.04 100.00
sdt               0.00    18.00    0.00 27598.00     0.00 114540.00     8.30   138.92    5.03    0.00    5.03   0.04 100.00
sdu               0.00    12.00    0.00 24844.00     0.00 103504.00     8.33   139.10    5.60    0.00    5.60   0.04 100.00
sdv               0.00    12.00    0.00 26640.00     0.00 110688.00     8.31   139.40    5.23    0.00    5.23   0.04 100.00
sdw               0.00    16.00    0.00 26225.00     0.00 109044.00     8.32   138.83    5.29    0.00    5.29   0.04 100.10
sdx               0.00     4.00    0.00 13196.00     0.00 56880.00     8.62   142.12   10.78    0.00   10.78   0.08 100.00
sdy               0.00    12.00    0.00 27068.00     0.00 112400.00     8.31   109.27    4.02    0.00    4.02   0.04 100.10
sdz               0.00    12.00    0.00 24634.00     0.00 102664.00     8.34   138.78    5.64    0.00    5.64   0.04 100.00
sdaa              0.00     8.00    0.00 16307.00     0.00 69340.00     8.50   140.77    8.66    0.00    8.66   0.06 100.00
sdab              0.00     3.00    0.00 12343.00     0.00 53468.00     8.66   142.80   11.55    0.00   11.55   0.08 100.00
sdac              0.00    16.00    0.00 25159.00     0.00 104780.00     8.33   140.53    5.60    0.00    5.60   0.04 100.00
sdad              0.00     8.00    0.00 20971.00     0.00 87992.00     8.39   125.72    5.97    0.00    5.97   0.05  99.90
sdae              0.00     6.00    0.00 18944.00     0.00 77840.00     8.22   140.27    7.43    0.00    7.43   0.05  99.90
sdaf              0.00    14.00    0.00 25504.00     0.00 104108.00     8.16   140.08    5.50    0.00    5.50   0.04  99.90
