Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:44:36 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.20    0.00    1.96    2.62    0.00   95.22

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.40   12.61    1.42   116.24   139.62    36.47     0.05    3.82    0.56   32.75   0.43   0.60
sdb              10.59    31.43  481.07 1301.67 10337.72  9543.50    22.30    19.78   11.09   24.56    6.12   0.09  16.26
sdc               9.85    38.12  474.73 1484.23  9989.96 10461.74    20.88    22.03   11.24   24.89    6.88   0.08  16.35
sdd              10.26    32.11  487.34 1226.17 10309.52  9390.71    22.99    19.01   11.09   24.25    5.86   0.10  16.55
sde              10.11    34.12  472.77 1082.62 10131.11  8600.12    24.09    21.42   13.77   25.02    8.85   0.10  16.30
sdf               9.70    27.80  427.02  523.81  9346.86  5882.61    32.03    21.55   22.67   27.69   18.57   0.18  16.69
sdg               9.70    26.45  421.96  627.82  9327.68  6130.36    29.45    21.63   20.60   28.20   15.49   0.15  16.23
sdh              10.26    33.27  475.74 1436.56 10178.18 10013.03    21.12    20.95   10.95   24.84    6.35   0.09  16.31
sdi               9.92    32.93  474.41 1313.26  9942.67  9796.37    22.08    20.55   11.49   24.92    6.64   0.09  16.22
sdj               9.63    36.39  456.02 1433.53  9676.04 10051.57    20.88    21.77   11.51   25.89    6.94   0.09  16.38
sdk               9.72    35.59  442.71 1318.44  9459.17  9448.17    21.47    21.98   12.48   26.76    7.68   0.09  16.32
sdl               9.73    34.60  453.35 1436.45  9595.28 10049.23    20.79    20.98   11.10   26.13    6.35   0.09  16.35
sdm               9.71    37.49  453.98 1468.37  9604.26 10189.96    20.59    21.84   11.36   26.05    6.82   0.09  16.39
sdn               9.72    36.10  470.55 1306.67  9865.80  9749.58    22.07    21.06   11.85   25.10    7.07   0.09  16.62
sdo              10.25    30.10  476.94 1119.70 10223.00  8724.61    23.73    18.96   11.87   24.79    6.37   0.10  16.22
sdp              10.37    35.85  465.41 1428.92 10027.01  9893.91    21.03    21.83   11.52   25.42    7.00   0.09  16.38
sdq              10.19    26.23  465.74 1039.52  9984.42  8296.96    24.29    18.97   12.60   25.41    6.86   0.11  16.18
sdr               9.95    34.80  453.25 1157.76  9826.51  8677.92    22.97    21.92   13.60   26.10    8.71   0.10  16.47
sds               9.73    25.82  455.40 1028.72  9627.97  8435.45    24.34    18.32   12.34   25.98    6.31   0.11  16.70
sdt               9.70    36.70  460.47 1365.32  9766.03  9851.51    21.49    21.41   11.72   25.66    7.02   0.09  16.29
sdu               9.79    35.93  467.51 1448.95  9877.99 10197.84    20.95    21.42   11.18   25.32    6.61   0.09  16.32
sdv              10.37    37.11  501.67 1476.50 10607.13 10515.87    21.36    21.86   11.05   23.63    6.77   0.08  16.39
sdw               9.68    35.13  460.29 1377.21  9700.04  9926.96    21.36    21.34   11.61   25.76    6.88   0.09  16.81
sdx               9.54    35.78  436.17 1409.10  9353.48  9709.80    20.66    22.00   11.92   27.13    7.21   0.09  16.40
sdy               9.70    33.55  471.85 1370.13  9868.47 10032.93    21.61    20.41   11.08   25.00    6.28   0.09  16.73
sdz               9.81    36.48  457.30 1439.70  9730.29 10067.61    20.87    21.96   11.57   25.84    7.04   0.09  16.37
sdaa              9.58    42.52  423.96  555.07  9273.26  5971.51    31.14    21.70   22.16   27.91   17.77   0.17  16.62
sdab              9.81    26.61  407.88  680.68  9119.88  6177.51    28.11    22.06   20.26   29.09   14.97   0.15  16.32
sdac              9.70    33.60  466.11 1326.77  9831.28  9656.72    21.74    20.72   11.55   25.37    6.70   0.09  16.15
sdad              9.43    32.74  416.36 1248.32  9002.63  8851.40    21.45    20.69   12.43   28.39    7.10   0.10  16.69
sdae              9.95    27.80  435.23  554.84  9542.60  5970.41    31.34    21.44   21.65   27.27   17.24   0.16  16.22
sdaf             10.01    34.89  473.59 1371.33  9996.24  9947.17    21.62    20.48   11.10   24.93    6.32   0.09  16.37
sdag              9.56    26.91  415.24  523.14  9173.40  5702.82    31.71    21.55   22.96   28.52   18.55   0.18  16.73

02/07/2019 07:44:37 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.65    0.00    1.05    0.93    0.00   96.37

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    2.00     0.00    28.00    28.00     0.00    0.50    0.00    0.50   0.50   0.10
sdb               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.05    6.50    0.00    6.50   3.38   2.70
sdc               0.00     0.00    0.00    8.00     0.00  8192.00  2048.00     0.04    5.25    0.00    5.25   2.88   2.30
